Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,05:27:26,195000000,+0.52%,185 000 000,204 000 000
2025-03-17,06:36:56,195000000,+0.52%,185 000 000,204 000 000
2025-03-17,09:07:54,197000000,+3.14%,187 000 000,206 000 000
2025-03-17,10:36:58,197000000,+3.14%,187 000 000,206 000 000
