Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:49:40,65900000,-4.35%,62 600 000,69 100 000
2025-03-17,12:48:10,63100000,-4.25%,59 900 000,66 200 000
2025-03-17,14:48:12,60400000,-4.28%,57 300 000,63 400 000
2025-03-17,16:48:10,57900000,-4.14%,55 000 000,60 700 000
2025-03-17,21:23:43,58300000,+2.28%,55 300 000,61 200 000
2025-03-17,22:48:10,60100000,+3.09%,57 000 000,63 100 000
2025-03-18,00:48:10,61900000,+3%,58 800 000,64 900 000
2025-03-18,04:48:14,64700000,+0.78%,61 400 000,67 900 000
2025-03-18,06:48:10,65700000,+1.55%,62 400 000,68 900 000
2025-03-18,08:48:10,63000000,-4.11%,59 800 000,66 100 000
2025-03-18,10:48:10,60300000,-4.29%,57 200 000,63 300 000
2025-03-18,12:48:10,57800000,-4.15%,54 900 000,60 600 000
2025-03-18,14:48:11,55800000,-3.46%,53 000 000,58 500 000
2025-03-18,16:48:09,53600000,-3.94%,50 900 000,56 200 000
2025-03-18,18:48:09,54200000,+1.12%,51 400 000,56 900 000
