Дата,Время,Цена
2025-03-08,02:05:56,115000000
2025-03-08,04:05:56,116000000
2025-03-08,06:05:56,117000000
2025-03-08,08:05:56,117000000
2025-03-08,10:05:56,116000000
2025-03-08,12:05:56,117000000
2025-03-08,14:05:56,115000000
2025-03-08,16:05:56,115000000
2025-03-08,18:05:56,116000000
2025-03-08,20:05:56,119000000
2025-03-08,22:05:56,121000000
2025-03-08,00:05:56,124000000
